Renewable electricity: number of installations at Local Authority Level - as at end of 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This worksheet contains one table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Some cells refer to notes which can be found on the notes worksheet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Authority Code [note 1],Local Authority Name  [note 5][note 6][note 7] [note 8][note 9],Region,Country,Estimated number of households  [note 2][note 3][note 4],Photovoltaics,Onshore Wind,Hydro,Anaerobic Digestion,Offshore Wind,Wave/Tidal,Sewage Gas,Landfill Gas,Municipal Solid Waste,Animal Biomass,Plant Biomass,Cofiring,Total,,,,,,,,,,,,,
S12000011,East Renfrewshire,Scotland,Scotland," 40,541 ","2,488 ",26 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"2,514 ",,,,,,,,,,,,,
E06000011,East Riding of Yorkshire,Yorkshire and Humber,England," 152,100 ","10,677 ",198 ,0 ,17 ,2 ,0 ,3 ,5 ,0 ,0 ,11 ,0 ,"10,913 ",,,,,,,,,,,,,
E07000193,East Staffordshire,West Midlands,England," 51,300 ","2,790 ",9 ,3 ,1 ,0 ,0 ,2 ,1 ,0 ,0 ,1 ,0 ,"2,807 ",,,,,,,,,,,,,
E07000244,East Suffolk,Eastern,England," 110,700 ","10,827 ",99 ,0 ,7 ,3 ,0 ,0 ,2 ,0 ,0 ,2 ,0 ,"10,940 ",,,,,,,,,,,,,
E07000061,Eastbourne,South East,England," 45,600 ","1,962 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,962 ",,,,,,,,,,,,,
E07000086,Eastleigh,South East,England," 56,900 ","7,486 ",1 ,0 ,1 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,"7,491 ",,,,,,,,,,,,,
E07000207,Elmbridge,South East,England," 55,600 ","2,302 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"2,302 ",,,,,,,,,,,,,
E09000010,Enfield,London,England," 120,900 ","2,589 ",0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,"2,592 ",,,,,,,,,,,,,
E07000072,Epping Forest,Eastern,England," 54,600 ","2,080 ",0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,1 ,0 ,"2,083 ",,,,,,,,,,,,,
E07000208,Epsom and Ewell,South East,England," 31,300 ","1,162 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,162 ",,,,,,,,,,,,,
E07000036,Erewash,East Midlands,England," 50,300 ","2,419 ",2 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"2,423 ",,,,,,,,,,,,,
E07000041,Exeter,South West,England," 52,500 ","5,330 ",0 ,2 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,"5,334 ",,,,,,,,,,,,,
S12000014,Falkirk,Scotland,Scotland," 73,237 ","3,639 ",24 ,5 ,0 ,0 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,"3,671 ",,,,,,,,,,,,,
E07000087,Fareham,South East,England," 48,600 ","3,819 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"3,819 ",,,,,,,,,,,,,
E07000010,Fenland,Eastern,England," 44,100 ","3,850 ",53 ,0 ,7 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,"3,911 ",,,,,,,,,,,,,
S12000047,Fife,Scotland,Scotland," 171,913 ","13,057 ",128 ,3 ,5 ,1 ,0 ,0 ,4 ,0 ,1 ,4 ,0 ,"13,203 ",,,,,,,,,,,,,
W06000005,Flintshire / Sir Y Fflint,Wales,Wales," 66,900 ","6,495 ",15 ,0 ,1 ,0 ,0 ,1 ,2 ,1 ,0 ,2 ,0 ,"6,517 ",,,,,,,,,,,,,
E07000112,Folkestone and Hythe,South East,England," 48,300 ","3,398 ",11 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,"3,411 ",,,,,,,,,,,,,
E07000080,Forest of Dean,South West,England," 37,200 ","4,443 ",10 ,3 ,7 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"4,463 ",,,,,,,,,,,,,
E07000119,Fylde,North West,England," 37,600 ","1,506 ",3 ,0 ,3 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,"1,513 ",,,,,,,,,,,,,
E08000037,Gateshead,North East,England," 89,000 ","3,043 ",1 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,2 ,0 ,"3,051 ",,,,,,,,,,,,,
